codigo,descripcion,marca,contenido,unidades_por_caja,precio_caja,stock,aromas
1146,TOALLAS FEMENINAS NATURAL-V NORMAL CON ALAS,NOSOTRAS,8 TOALLAS,30,22500,14.0,
1147,TOALLA FEMENINA ULTRA DELGADA  X8,LADYSOFT,8 TOALLAS,24,23520,14.0,
1148,TOALLAS FEMENINAS PROTECCION-V DELGADA X6,NOSOTRAS,6 TOALLAS,24,16800,12.0,
1149,TOALLAS FEMENINAS NOCTURNA ULTRA DELGADA X7,LADYSOFT,7 TOALLAS,24,19440,9.0,
1150,TOALLA FEMENINA PACK X16  NORMAL,LADYSOFT,16 UNIDADES,12,15360,13.0,
1151,ESPONJA SUAVE-ORO-PLATA,ULTRA CLEAN,3 UNIDADES,10 PAKS,9500,350.0,
1152,ESPONJA MAGICA X3,ULTRA CLEAN,3 UNIDADES,PAK X3,900,120.0,
1153,ESPONJA CERO RAYAS PACKS X3,ULTRA CLEAN,3 UNIDADES,PACK X3,880,200.0,
1154,ESPONJA MAGICA X20,ULTRA CLEAN,2O UNIDADES,PACK X20,7500,48.0,
1155,ESPONJA ABRASIVA X3,ULTRA CLEAN,3 UNIDADES,PACKS X3,800,100.0,
1156,ESPONJA CERO RAYAS PACKS X20,ULTRA CLEAN,20 UNIDADES,PAKSX20,7080,47.0,
1157,GUANTES AMARLLOS TEDDY,TEDDY,12 UNIDADES,12,7560,12.0,
1158,GUANTES NITRILO ULTRA CLEAN,ULTRA CLEAN,1 PAR,10,9900,10.0,
1159,PAÑO DE COCINA MICROFIBRA ,TEDDY,,25,11250,6.0,
1160,TOALLAS FEMENINAS NORMAL X8,LADYSOFT,8 TOALLAS,24,16800,13.0,
1161,ESPONJA GRILL XL X2 ,ULTRA CLEAN,2 UNIDADES,,900,400.0,
1162,ESPONJA ABRASIVA WINNEX X5,WINNEX,5 UNIDADES,36,20880,9.0,
1163,virutills plateada tddy x25,teddy,25 unidades,25,5400,5.0,
1164,virutilladorada x25 teddy,teddy,25 unidades,25,8000,6.0,
1165,esponja galvanizada x1 ultra clean,ultra clean,1 unidad,,450,350.0,
1166,trapero de algodon teddy,teddy,25 unidades,25,13000,6.0,
1167,jabonera economica,,10 unidades,10,5640,15.0,
1168,escobilla grande  para ropa ,,10 unidades,10,5400,4.0,
1169,escobilla pequeña x2,,12 paks x2,12,8280,5.0,
1170,esponja plateada safi tex,safi tex,1,12,3000,20.0,
1171,cepillo de baño ,,1,1,890,30.0,
1172,set de ducha ,,,,970,15.0,
1173,esponja deluxe colores,,packs x12,12,890,20.0,
1174,pasta dental kids x12,,12 unidades,12,10200,6.0,
1175,toalla humeda adulto activity,activity,12 unidades,12,15600,7.0,
1176,toalla humeda babysec x45,babysec,45 unidades,12,8280,45.0,
1177,toalla humeda soft cloud animalito,souft cloud,72 unidades,24,16800,25.0,
1178,velas pequeña winnex,WINNEX,4 unidades,60,48600,6.0,
1179,vela grande winnex,WINNEX,4 unidades,60, 5100 ,4.0,
1180,detergente para ropa negra,,1 litro,8,26000,10.0,
1181,pasta dental fresh up x6,frehs up,130 gramos,6,5340,24.0,
1182,toalla humeda garffield,soft wipes,80 unidaes,12,15360,16.0,
1183,toalla cilicona wiinex cars,WINNEX,80 unidaes,12,25200,6.0,
1184,antigrasa doypack,EXCELL,500 ml,12,10080,13.0,
1185,multiusos limpiavidrios excell,EXCELL,500 ml,12,10080,14.0,
1186,pastillas para estanque x3,EXCELL,3 unidaes,24,439209,5.0,
